Q,A
웅 히히 오늘도 화이팅해요 우리,히힛 그래요 자기
사랑해 쟈기,홧팅홧팅 따랑해
웅웅 쉬는시간에 저나할께,네 😊
카톡해죠오,그러믄요 카레 먹으러 왓어요!!
맛있니! 그 인도카레?? 혼자뮥어?,아니! 그냥 카레야 연구실 도착했어요 지금 블랙잭 하는중~
ㅋㅋㅋ 재밌니! ㅅㅂ 사람 많아소 원카드도 가능하겠다 부롭더 나도 껴쥬ㅓ 내일,형들이랑 했는데 승률 50나옴
쿄쿄 똑같넹 아 ㅅㅂ 나도 사람들이랑 많이해서 카드게임하고싶어 나도 껴쥬ㅓ,ㅋㅋㅋㅋㅋㅋㅋㅋ 다음에 장원이집에서 같이 카드게임이나 또 할까?
조하,구래요 자기 몇시쯤 쉬어요 나 5~6시쯤에 형들이랑 같이 밥먹기로했어
4시 아니면 5시 힝 밥 마니먹네 민정이가 지금 수ㅏ러가서 나는 다섯시에 쉬어요 내가 가위바위보져서 ㅠ 구럼 저나 못하겠넹 ㅠㅠ,지금은 형이랑 같이 코드짜고있어요.. 일단 끝나면 말해줘 전화통화할수있으면 바로 할게요
웅 동글이도 밥 같이 목오?? 형들이랑만 먹어??,형들이랑만유
아라쪄 애기 나 지금 쉬어요,베트남 쌀국수 먹으러왔오 내일 쌀국수 먹는거 알지만 형들이 먹고싶댜서 왔구요 자기 내일 먹는 쌀국수는 한국식이니까 더 맛있게 먹어요
ㅋㅋㅋㅋ저 아무말도 안했는디요 맛있게 드세요,다 먹구 다시 연구실 드갑니다~~
웅 나두 막담피구 들와쓔,그래유 조심히 갔다오세유
네잉 쟈기두 좀만 더 홧팅!!,네에네에자기네에
애기 아직 겅부즁??,이제 나가요 자기
네에 자기 나 옴마집 한번 들려두돼요?? 우산이랑 빵도 먹규싶다해소 몇개 사가지구 자기 괜찮으면 같이 들려도 돼?? 아니면 현지 혼자 가고 자기 집에서 먼저 쉬고있어도됑,같이 가요 지금 지하철역 도착
어댜??,끝났어??
엥,응? 끝남?
어딘데 ㅇㅇ 지하철 타러들어왔어,벌써어?
이거 설마 충무로 역?,나 지슴 뚝섬 응..
나 맨날 10시 10분 전에 끝나자나,겅부하느라 자기가 톡 줘서 알았어요..
뭐야,흐흐 좀만 기다려줘 금방가요
어디야 지하철 오는데,으응ㅇ 도착이야?
타도돼? 짐 들어오는중 어딘데 ㅠㅠ,안될듯.. 나 계단 내려가는중
자기 출발~? 흠,네 방금 탔어요 자귀는?
위에 카톡 올려보니 내가 좀 띠껍군 자기도 속상했겠어 미안해,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 괜찮아요.. 다음엔 미리 말할게
웅 미아내 역이 너무 덥고 습해서 더 짜증났어 열심히 와줬는데 짜증내서 미아내,착하네 우리 애기 사과해줘서 고마우이
웅 현지는 곧 도착이당 다다음역!!,구래!! 잘 다녀오도록
웅!! 자기도 화이팅!!,슈슈슉슉슈슉 갔다오마
슈슈슈슈슉 나도 내린다!! 다녀오께!,충무로 도착해서 밥먹으러가용 수슈슉 속보 학교 방전.. 덥고 물도 안나온다ㅜㅜ
슬슬 들어갑니데이~~~ 드가서 일찍 보내달라고 슬쩍 말해볼게요잉,네 자기 끝나면 말해주세요
이제 슬 끝나용,네에 자기
현정이 화장실더녀오면 톼근해용,그래유' 출발할 때도착시간 보내주세용
충뮤로 가요??,네 자기
네 2호선 타로가고있어유 와 계단 좆돼 자기야 진짜 내가 미안해 어제 허ㅏ내서 시발 조난힘들어 일케도착,넵!! 55분에 나갈게요
웅 지금 지하철 탔는데 땀 존나 나 ㅠㅠ 내가 진짜 미안해 자기야ㅠ 나 존나 나빠 ㅠ 용서하지마ㅠ 왤케 오래걸리니 충무로,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 등산했어 애기?
웅 땀 뻘뻘흘림 ㅠㅠ 너 여기 어케오니ㅠㅠ 빨리 오라구 재촉해서 미아내ㅠㅠ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀욤아 괜찮아 나도 이제나간다!
웅 나 십분남았는데 갠차나??,응응
이제 내려요,3번출구로와요 자기
네 주황꼬츄 야 야 대답안해?,왜유
야 야 어쩌라는겨 나 누워있을거니까 빨래하셈,ㅋㅋ ㅋㅋ ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
아라찌?? 비와소 현지는 나가기시러,알아쏘.. 잘 탔지?
넵!!,구래구랴
응응 자기도 잘 다녀와요!!,나도 갔더올게! 자기두 화이팅입니다
우야우야!!! 현지는 벌써 도착!!! 애기는~~~~,나눈 청구역이다 아직 멀었으
글쿤!,잘 갔다와요 자기
누나 먼저 들어갈게!! 도착해서 밥 챙겨목구!! 잘다녀오도록! 사랑해 애기,그럼!! 돈까스 먹으러왔옹ㅅ
쿄쿄 자래따!!,연구실 도착해서 공부하고있어용
오이야 내새끼 오늘 누나가 사탕 사가께~~,조아조하 조아호하 오늘 바빠유?
안바빠유~~ 배달도 마니 들어오고 빵도 적어서 만들어야하규 재밌어유~~ ㅋㅅㅋ,😆 또장님?
또장님??,또 점장님?
노노 오늘은 민정이 현정이 오면 쉬러가야징 배고푸 쌀국수 ㅅㅂ 맛있겠다 개쉑,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쉑쉑 난 아직 혼자 공부중 형들이 좀 늦게 오넹
님아 왜 저나 안받아 형들이랑 토론중??,아 잠ㅁ나
드가기전에 하나만 더 태우겠슴다! 드갑니다!,그래요! 잘 다녀와유!
오야!! 설명은 오때 형 뒤집어져??,너무 당연한 거였나봐 그냥 그러려니 하던데 ㅋㅋㅋㅋ
흠 글쿤 자래써 혼자 깨달은게 대단한거지,난 만족함 내가 설명을 잘 못해서 그런걸수도있어.. ㅠㅠ
자래써 울애기 나 6시쯤 간다규 얘기해써 야 ㅈ될뻔 ㅅㅂ 이시발롬들 장사안하냐??,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
돈벌기 앵간히 싫은가보네,토요일 일요일은
아 ㅈ될뻔했네,무조건 휴무인가보네?
ㅇㅇ,큰일날뻔..
니 안찾아봤지,웅..ㅎㅎ
짜증 그럼 저녁뭐먹을래,동네에서 먹을까?
집가서 먹으실 ㅇㅇ 6시까지오셈,네 자기 5시에 출발할게요
ㅋㅋ 6시까진디 맘대루행,6시까지 돌곶이아녀?
아 돌곶이에서 만나? 일로오는줄,아 맞네
?,그럼 5시 10분에 출발할게
웅 자기 도착하면 바로 나갈겡,네 자기
넹 고마워용,물론이죵! 출발합니둥!
쿄쿄 쓰레기 보리로가는중 이거 버리고 퇴근함 쿄쿄,쿄쿄 나는 상왕십리역이다
쿄쿄 아라따,건대 도착이용 이제 거기로 갑니다 자기씨 6시쯤 끝나유?
넹!! 이제 갈거에유 곧,네 😊
현정이 화장실 다녀온다해서 기달중~~,우리집은 안전했다..듀둥!!
힝구 다행이네,다녀옵니다!
웅 나옴??,네
저나는???,다시 출발해요 자기
나도 씻오야지 하앙 기찬타 월굽 적게 받아서 더 가기싫음,ㅋㅋㅋㅋㅋㅋㅋ 다음달엔 무지하게 들어올거야! 화장실 급해서 엄청 뛰었네
맨날 급혀 나 이제 나가유,일찍 출발하네? 준비 잘 하구 가고있어?
웅응,그래유 잘 갔다와요 애기
애기두 어디쯤야,나 지금! 보문역이지 왜 여깄지 ㅋㅋ
? 6호선 탔어?,응
왱?,화장실가랴면 6호선이 가까워가지고 ㅋㅋ
1호손에도 화장싱 있자나 1번출규 ㄷ ㄷ 3번4번 뼈맞음,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맞는 말이군
자기랑 있을때는 자존감 만땅임 존나 빨리 도착할것같음 담배피고 들어가야지 ㅋ,당연하지 자기는 최곤데 나 충무로 도착이욤
웅융,담배안피고 바로 드간다
별로 안늦겠군 오야! 언넝가라!!,고래고래
도착띠,끝났따 일 잘하구있니 애기
융 어마오마한일이있옸음 ㅠ 이따 쉬는시간에 말해줌 후덜덜해,오케오케 엄청난일이겠둔 후덜덜덜덜
4시에 쉴거임,네에 자기
드갑니다!!,나도 밥먹으러간다!
뭐먹니 얘!! 대답안하니!!,네 누나 저 지금 열심히 공부하구있죠..ㅎ 머리가 터질듯해요
아니 밥 뭐먹냐니까 뭔 뭐먹는지 말도 안해주고 먹고 들어와서 공뷰하고있구나 말을 안해줘서 몰랐네,아아 아아아아 정말 미안해요 짜장면 먹고 들어와서 또 미친놈마냥 컴퓨터 붙잡고 문제 풀고 있었어 ㅠㅠㅠㅠ자기야 미아냏
ㅋㅋ 봐준다 이눔!!,고마우이.. 미안해용ㅇ 정말루ㅠㅠㅡㅠㅡㅠㅡㅠ
아라따 임마!,네에에ㅔㅎㅎㅎㅎ
아 존나 집가고싶음,이제 곧이요 마나님
존나 멀엇음 ㅠ 배고프규 과자먹고시퓨 난 정말 돼지야ㅠ,과자 먹으면 되지! 먹자애기야
융 집가서 머그려구 매장 베이글칩 사떠 힝,그래요 사서 먹자 괜찮아~
힝 난 돼지야ㅠ,아니야아니야 우리 애기는 그냥 배고픈거지 돼지 아니야
ㅋㅋ 웃기네,ㅁㅋㅋㅋㅋㅋㅋ 한시간 뒤에 출발한다 애기보러
융 애기 보러오꺼야) ?,그럼 당연히 가야지 !!!!!!!!
웅 집가고파,12분뒤에 출발이다 애기야 기다릴수있지?
웅 쟈기 늦어??,안늦을듯? 일단 가볼게 늦으면 먼저가
시져 기다리꺼야,ㅋㅋㅋㅋㅋㅋㅋ 그랭
웅,10시 7분 도착예정이에요
웅 나 끝!!ㅔ  울마미 귀엽지,ㅋㅋㅋㅋㅋㅋㅋ 귀여우시네 기다리는중! 나 이제 도착했어 거기로 갈게요
파란꼬츄,ㅋㅋ
ㅗ,신발 붙이고 다시 갑니다요
넵! 밥 냠냠중,집도착했어용 씻어야디
집가요,일어났어요 잠은 잘 자구 있겠지.. 일어나면 연락해요
일어났어요,잘 잤어?
응응,그래요 잘 잤으면 됐네 이제 뭐할꺼야?
누워있다가 쥰비해야지 자기는 뭐해?,공부하고 있었어요 다 씻긴해서 슬슬 나갈 준비해야지 나가용 충무로 도착이욤!
현지 도착해쓔 다녀오께요,다녀와유!
치킨 먹을래?,치킨 좋다 치킨 떙겨 자기?
오늘 중복이랭 닭먹어야장 자기만 좋으면 치킨 묵을까??,응 난 좋아요 치킨 먹자 우리
황올?? 뭐먹고싶은 치킨 있어요? 교촌??,응 교촌이요 교촌
오케바뤼 집가묜서 포장하장 한시간뒤 쉬는시간,쉬는시간 자기 쉬는시간에 나도 쉬어야지
쿄쿄 조앙 빵이 먹고싶다 하 시발 난 왜 돼지일까 먹고싶은것두 맘대루 못먹눈 슬픈 도ㅑ지,머거 먹어도 돼 내가 용서하지
아야해또 제빙기밑에 철이 튀어나왔길래 내 주먹을 믿고 몇번 쳤는데 철도 들오가고 내 손도 무너짐,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 손이 왜 무너져 멍 들었네 바보야 자기 손은 나 때릴때만 강해지잖아
힝 부어떠,엄청 아파보여 ㅠㅠ 냉찜질이라도 했어요?
아니 그런거 안하지 난 존나 쎈데,조온나 쎄도 철 하나 못이김
닌 이김 그러다 맞으면 아플걸,나 형이랑 밥먹으러가요
앵 나 곧 쉬는시간인디 엥 맛있게 먹오 짜증내서 미안,고마워요 애기 맛있게 먹을게 자기두 맛있게 먹어요
응응 현지는 들어갈게용 이따봐용,네 자기 이따봐요
책 가져가서 봐두 된대,오홍 잘됐네 자기?
응응! 언제 가져갈까~?,자기 공부하고싶을떄~ 나 오늘 쇼핑백가져와서 오늘 가져와두 되고
아라쪄! 오늘 가져가고 쉬는날 같이 공부할까?,너모 조아 너무너무 히헤 히라라ㅣ하이리리리 조아요
응응!! 아라써!!,출발이용 나더착 블루투스 이오폰 안가지고옴 ㅡㅡ
ㅋㅋ 수고,ㅋㅋ 쥐엔장 간당!
ㅋㅋ 귀여유ㅗ ㅍ ㅠㅠ,나 충무로 도착이다! 내가 더 빠르지?
우씨 자기가 5분 더 일찍 갔자나 나도 다음다움에 내린다,ㅋㅋㅋㅋㅋ 우리 비슷하구나 가는시간이 잘갔다오렴 애기 먼저간다~~
나도 내린다!!! 이따보자 !!,연구실에서 잘 도착했따!
그래 이눔아!! 난 4시쯤 쉬겠다!!,구래! 난 3시에 미팅간다
끝나면 연락주쇼잉,끝났슈 애기 추천서 써주신다네~
헉 대박,마무리 잘 해볼게
그럼~ 잘할거야 내새끼,ㅎㅎㅎ히히
히히 존맛,흐헤 맛있게 무
웅 4개 먹으니까 질림 넣어노코 이따 자기도 맛보게해줌,ㅋㅋㅋㅋㅋ 그래 애기 노나 먹자
웅웅 앉아있다가 불려나갔다옴 ㅋㅋ,왜 불려나갔다왔어
도와달래서,ㅋㅋㅋㅋㅋㅋ 점장님이?
웅 ㅋㅋ 점장님 바보~,바보래요~ 출발해용
얌 카드 챙겨 오늘 하게 이미 나왔으면 말고,뭘챙겨?? 무슨 카드? 아 챙겼어 챙겼어
ㅋㅅㅋ 잘함 노트북이랑 다 잘 챙겨왔지?? 공부할거?? 시골내려가기전에 학교 못가니까,고럼 챙겼지
콘칩 포카칩,네
메모장임,오케 집도착했어  ~
오이야! 언넝 씻구 오니라~~,지금나간다 !!
앞에 오면 저나 담피,오케오케 담배 맛있겠따
애기야 현지 출근했어용 일어나면 연락주세용,나 일어났오 출근 잘 해서 다행이네
잉 애기,다 씻거 나왔오 나가기 너무 싫다 ㅋㅋㅋㅋ
밥머그러가야지 야기~~,응.. 가야지 가야지 간다 자기야 다녀옦0
웅 내카드 챙기구,네 잘 챙겨서 나가요 자기 카드 덕분에 면도기 2만원 짜리 샀어용 자기야 날씨 도라이야 오늘 집에만 있는걸 추천하지 흐흐
ㅠㅠ 더 좋은거 사지 애기야 케이크나 더 사가요 오늘 정지현집 안갈까 생각중 ㅋㅋ 오늘 아침에 일오널때 넘 힘들어서,호호 키키키ㅣㅋㅋ
낼 못일어날까봐 ㅋㅅㅋ,크크
나 1시반쯤 쉬오요,무려 잠실이라구?
저나가능??,응 가능가능
오케오케,그때면 지하철에 있을듯
밥은 먹었니,방금 미아리 들어왔어요 거짓말 안하고 샤워하고 나온지 1시간됐는데 소금물로 샤워 한 번 더함ㅋㅋ 지하철역 가유
쿄쿄 초코라고 환장하니까,오옹
배탈난다고 조금씩먹으래,자기 좋아할만한 초코군
존나 애긴쥴알어,집에 가져갈꺼야?
융 자기두 먹어야징,배려심도 넘치네 우리 애기는
쿄쿄 맛난건 같이 먹어야징 현지가 다먹기전에 언넝 오라구~~,알았슈~
애기야 현지 이제 들어갈게요~ 조심해서 가요 연락 잘 해죠,응 자기 오늘 하루도 힘내요 자기 나 열차탔어 ㅠㅠㅠㅠ 너무 시원해
ㅋㅋ기요미 사랑해,히 ❤ 옆에 사람이 자꾸 방귀껴.. 탄 계란 냄새 나ㅠㅠ
에바지 너도 껴쥬ㅓ,흥😤 쫄아가지공 갔어 그사람
쿄쿄 자기가 막 째려봐써?? 코막구??,아닁 코 계속 킁킁 거렸엉 ㅋㅋㅋㅋ 잘 도착했어요 아빠 만나러 가는즁
오야 잘다녀와요,돼지고기 집에 도착했어 자기는 뭐하구있니 여기에 애기가 있는데 오자마자 울고있더라고 자기 생각남 ㅋㅋ
아놔 내생각이 왜 남 그때 그 애기?? 나 지금 담타 자기 밥 목는즁??,네 먹고있어요 아빠 생신이라 술도 같이 먹는즁
쿄쿄 7시쯤 갈듯 걍 정시터ㅏ군할까,일찍가면 푹 쉴수있찌
앙 지금 톼근~~ 바로 엄마집~~~ 정지현한테 걍 술 담에 먹자함 ㅋㅋ 옴마집에 있다가 잠깐 시간 맞으면 담배만 피구 집 갈게유,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘했네 애기~~~ 얼른 쉬러 가요 고생했어
잉 쿄쿄 자리 없어서 서있는즁 ㅠㅠ,쿄쿄쿄쿄 이런
자기는 아직 고기집??,응
애기가 엄청 울어 쥐어박고시퍼,ㅋㅋㅋㅋㅋ 여기 애기도 세침때기야 샌가?
글서 현지 생각나??,그럼 현지야 그냥 계속 보게돼
머래 난 완전 어른이다 인디 애기 모해 나 콩국수 머글꺼야,나 커피숍갔다가 자리 없어서 결국 차에 왓어
힝구 이제 집 돌아가요??,집 가구있는데 어떤 차랑 부딪힐뻔해서 보험회서 부르고 기다리고있어 ㅋㅋㅋㅋ
애??? 부딪힌건 아니구?? 다들 괜찮으셔??,응 급정거해가지고 부딪힌거 같지는 않은데 차에 할머니 두분 계셔가지고 아빠 화났어
헉 글쿤ㅔ,놀래라
애기 많이 놀랐겠다 얼른 보험회사와서 해결됐으면 좋겠네 날도 더운데,그러게
잉 앞차는,별 일 없이 끝나야지
사과안함??,사과했는데 전화번화달라니까 개인적으로 해결하기 싫다고 보험회사 각자 부르자고 해서 그러는즁
ㅋㅋ 왜나댐 급정거면 존나 지잘못인디,조선족임
ㅅㅂ,ㅋㅋ 운전을 전투적으로햐
진짜 싫다 민폐노,현찰싸대시 현찰싸대기 해보고싶다
갑자기?,잘못했는데 당당한거 보고 갑자기 생각남
ㅋㅋㅋㅋ 현지가 돈 많이 벌어서 하게해주께 졸귀두찌보고가셈,쿄쿄 강아지 + 토끼 구나
발바닥털 밀리는중이라서 잔뜩 겁먹고 심기불편한 표정이심,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 애기
개쫄보 웅 자기 불러떠?,콩국수 맛있게 먹었닝?
웅웅 배불러 자두도 먹어써,온제 집 들어가게
이제 슬슬가야장,자기 보고싶다
나두 보고시퍼,이게 무야
웅??,또 안좋은 기억만 가지고 가겠네
왜ㅠㅠ애기 아직두 보험회사 기다려??,방금 끝났어 방금 블랙박스 녹화 영상 떠가서 다시 출발하는중이야
너무 고생했어 애기 얼른 집 가서 쉬자 기분풀구 좀만 더 기운내요,네에 자기 한숨자구 도착해서 또 연락할게요 애기가 최고야
웅 애기 도착해서 연락해요 나도 이제 집 가려구 나왔어요 담배피고 갈게요 애기 나 집 와서 씻어쓔,나도 할무니집 도착했어 한숨잤더니 좀 낫네
다행이네유 이제 씻고 쉬어??,응 잠깐 아빠집 들리고 할머니집 가서 씻어야지 처음 가봤는데 디게 좋아 동영상
헉 완죤 팬션이다 현지드 가고파,히히 제대로 짓긴했네 나도 자기랑 가고싶어 ㅜㅜ 나 얼른 씻고올게?
응응 천천히와유 아 나 세수만 했는디 나도 끈적거려서 샤워해야게따,그래유 잘 생각했네 난 다 씻었다구? 공부하고있을게 다 하면 잉
